type,org_name,contact,location
Counseling,MindAid,352-638-9851,"Location 1, Gainesville"
Counseling,MindAid,352-599-2266,"Location 2, Gainesville"
Counseling,Helping Hands,352-483-9138,"Location 3, Gainesville"
Therapy,Nighttime Navigators,352-486-1500,"Location 4, Gainesville"
Counseling,GatorWell,352-617-8581,"Location 5, Gainesville"
Counseling,Nighttime Navigators,352-343-4431,"Location 6, Gainesville"
Peer Support,MindAid,352-274-8230,"Location 7, Gainesville"
Peer Support,UF Counseling & Wellness Center,352-954-2061,"Location 8, Gainesville"
Peer Support,GatorWell,352-461-5654,"Location 9, Gainesville"
Counseling,Helping Hands,352-682-3208,"Location 10, Gainesville"
